date,symbol,price,pe_ratio,to_buy
2022-06-28,RCL,40.14,-8.540425531914893,0
2022-06-28,DAL,30.33,-20.49324324324324,1
2022-06-28,ASTS,6.34,-8.684931506849315,1
2022-06-28,CCL,10.33,-6.416149068322981,0
2024-05-07,CLBT,11.27,-31.30555555555556,1
2024-05-07,FSLY,8.51,-26.59375,0
2024-05-07,CORZ,3.38,3.714285714285714,1
2024-05-07,ASTS,2.32,-14.499999999999998,1
2023-04-28,ZETA,9.71,-25.55263157894737,0
2023-04-28,CLBT,5.41,-24.59090909090909,1
2023-04-28,MU,64.36,-30.21596244131456,1
2023-04-28,MSTR,32.84,8.42051282051282,1
2023-04-28,ALK,43.46,-39.15315315315315,1
2023-04-28,MGNI,9.4,-12.876712328767123,1
2023-04-28,IONQ,5.51,-39.35714285714285,1
2023-04-28,ASTS,5.31,-8.428571428571427,1
2023-04-28,NRG,34.17,-5.891379310344828,1
2021-05-14,NCLH,28.58,-6.870192307692308,1
2021-05-14,AAL,22.4,-11.370558375634516,1
2021-05-14,VST,16.38,-3.890736342042755,1
2021-05-14,UAL,55.28,-12.885780885780886,0
2021-05-14,HIMS,8.84,-26.0,1
2021-05-14,RCL,84.27,-18.083690987124463,1
2021-05-14,DAL,46.31,-25.032432432432437,0
2021-05-14,FTI,8.21,10.01219512195122,1
2021-05-14,CCL,27.2,-15.11111111111111,1
2022-07-29,NCLH,12.15,-9.959016393442624,1
2022-07-29,ZETA,5.35,-8.492063492063492,1
2022-07-29,VST,25.85,-8.154574132492113,0
2022-07-29,MSTR,28.61,-3.0436170212765954,1
2022-07-29,AIV,8.32,5.265822784810126,1
2022-07-29,CCL,9.06,-5.627329192546584,1
2024-06-21,CLBT,11.88,-33.0,1
2024-06-21,FSLY,7.27,-22.71875,1
2024-06-21,ALK,41.18,-39.219047619047615,0
2024-06-21,CORZ,8.97,9.857142857142858,1
2024-06-21,IONQ,6.76,-35.57894736842105,1
2022-12-13,ZETA,9.18,-18.73469387755102,1
2022-12-13,HRB,41.56,-39.58095238095238,0
2022-12-13,FSLY,9.65,-18.557692307692307,1
2022-12-13,IONQ,4.32,-36.00000000000001,1
2022-12-13,ASTS,3.96,-6.6000000000000005,1
2022-12-13,BA,187.13,-33.71711711711712,1
2022-12-13,CCL,8.91,-7.015748031496063,1
2021-09-01,NCLH,25.16,-12.969072164948454,1
2021-09-01,ZETA,6.89,-3.724324324324324,1
2021-09-01,MSTR,70.25,-22.882736156351797,1
2021-09-01,UAL,46.19,-34.47014925373134,1
2021-09-01,RCL,82.24,-15.546313799621927,1
2021-09-01,ASTS,12.26,-31.435897435897434,0
2021-09-01,FTI,6.58,-17.783783783783782,1
2021-09-01,CCL,23.51,-9.404,1
2021-07-01,NCLH,29.51,-15.211340206185568,0
2021-07-01,ZETA,7.99,-4.318918918918919,0
2021-07-01,MSTR,65.09,-21.20195439739414,1
2021-07-01,UAL,53.08,-39.611940298507456,0
2021-07-01,RCL,85.89,-16.236294896030245,0
2021-07-01,ASTS,12.95,-33.205128205128204,0
2021-07-01,FTI,9.36,-25.29729729729729,0
2021-07-01,CCL,26.36,-14.404371584699453,0
2021-12-15,NCLH,20.07,-8.764192139737991,1
2021-12-15,ZETA,8.15,-15.377358490566037,1
2021-12-15,HRB,24.16,-28.423529411764708,0
2021-12-15,RKLB,12.63,-32.38461538461539,0
2021-12-15,RCL,70.63,-12.635062611806797,1
2021-12-15,CCL,17.89,-7.744588744588745,1
2023-04-03,ZETA,10.82,-28.473684210526315,0
2023-04-03,CLBT,5.95,-27.045454545454547,0
