date,symbol,price,evebitda,future_eps,to_buy
2021-01-12,CCJ,13.77,28.112629716203813,-0.09760312,1
2021-01-12,AIV,4.78,-19.046145628978977,-0.006455,0
2021-01-12,TAP,51.85,-17.641788939051917,-0.096826,0
2021-01-12,HRB,16.36,-28.501366473240004,-1.41,1
2021-09-07,CTVA,44.33,17.5972881925014,-0.31299,0
2021-09-07,HRB,25.69,11.822738140496025,-1.02714,0
2021-09-07,CCL,23.56,-28.272585365853654,-1.44433,1
2022-08-11,COIN,84.0,-15.903943837018582,-2.37683,0
2022-08-11,CTVA,60.27,23.68104249448124,-0.22066,0
2022-08-11,HRB,44.79,23.56477171734648,-1.085,0
2022-04-19,UBER,33.8,-12.683228210717372,-0.26835,0
2022-02-10,FSLR,71.22,26.39948817397059,-0.42766,1
2019-11-19,APA,22.37,20.262426729040097,-0.066786,1
2024-02-06,UAL,41.23,23.440747479575595,-0.54184,1
2024-02-06,AIV,7.5,-17.2389769616341,-0.09,0
2021-11-01,UAL,48.05,21.840428485214243,-2.09109,0
2021-11-01,CCL,23.07,-27.971945799457995,-1.44433,0
2021-09-14,LUV,48.03,29.848389189189188,-0.2732,1
2021-09-14,CTVA,42.26,16.747279238947957,-0.31299,1
2021-09-14,HRB,24.58,11.078628313754129,-1.02714,0
2021-09-14,CCL,22.86,-27.84310027100271,-1.44433,1
2022-01-10,CCL,21.4,-29.55070921985816,-1.27562,0
2022-06-21,UBER,21.76,-8.595031121866898,-0.26835,1
2022-06-21,COIN,57.49,-18.438770702463465,-2.47179,1
2022-03-21,FSLR,77.39,29.125883234975056,-0.42766,0
2021-10-22,RKLB,13.0,-27.345884833497795,-0.05,1
2021-10-22,UAL,46.73,21.5824827996379,-2.09109,1
2021-10-22,CCL,22.29,-27.493376693766937,-1.44433,1
2021-02-23,ALK,66.52,-24.390549957142856,-3.63086,0
2021-02-23,UAL,50.61,-23.353129514321296,-7.08324,1
2021-02-23,FTI,7.14,28.741653651814424,-0.073068,1
2021-02-23,AAL,20.66,-27.85043907051282,-4.30477,1
2021-02-23,AIV,4.98,-19.42310015314711,-0.006455,1
2021-02-23,TAP,46.98,-16.647817908201656,-0.096826,1
