date,symbol,price,est_eps_growth,to_buy
2021-10-04,F,14.35,0.6656512370904228,1
2024-08-15,NRG,82.75,0.2582423976003309,0
2023-01-19,C,49.37,0.4407489314091413,0
2023-01-19,CAH,75.48,0.3027600105143257,0
2022-09-06,TMUS,141.91,0.4029271896209428,0
2022-09-06,KR,48.52,1.930689505182163,0
2022-09-06,UAL,36.58,0.2281102761215753,0
2022-09-02,TMUS,141.98,0.4029271896209428,0
2022-09-02,KR,48.43,1.930689505182163,0
2022-09-02,UAL,35.31,0.2281102761215753,0
2021-11-23,AIG,58.9,0.346776660962979,0
2021-11-23,XOM,63.13,0.2467184019821172,0
2021-11-23,CB,192.95,0.5249349060887132,0
2021-11-23,COP,73.78,0.4375024670078814,0
2021-11-23,CVX,116.3,0.4189164646161948,1
2021-11-23,F,20.2,0.6656512370904228,0
2021-06-16,AIG,51.68,0.2463425753242985,0
2021-06-16,PFE,39.3,0.2508345255126371,1
2021-06-16,DELL,52.05,0.2681764599484815,0
2022-07-29,LOW,191.53,0.4236726556823192,1
2022-07-29,TMUS,143.06,0.4029271896209428,0
2022-07-29,KR,46.44,1.930689505182163,0
2022-07-29,UAL,36.75,0.2281102761215753,0
2022-08-17,TMUS,145.55,0.4029271896209428,0
2022-08-17,KR,48.55,1.930689505182163,0
2022-08-17,UAL,38.96,0.2281102761215753,0
2023-09-20,LEN,116.53,0.304753434077644,0
2023-09-20,PSX,120.07,0.3372238224471787,0
2023-09-20,VLO,142.97,0.4817620289309048,0
2023-09-20,DHI,113.2,0.3953739731949848,0
2022-10-07,CAT,177.55,0.2693864780559954,1
2022-10-07,AIG,49.71,1.5498265437605314,1
2022-10-07,HCA,200.46,0.2344430900699148,0
2022-10-07,IBM,118.82,1.0067322023679937,1
2022-10-07,F,12.2,1.2929910500534052,0
2022-10-07,KR,43.0,1.930689505182163,1
2022-10-07,GE,40.18,2.112439462187151,1
2022-10-07,MET,63.25,0.4120926606903796,1
2022-10-07,PRU,91.08,0.2663950184511058,1
2019-12-20,DELL,25.14,0.2645269098590661,0
2019-12-20,GE,54.92,0.4479317668475878,0
2022-08-15,TMUS,146.69,0.4029271896209428,0
2022-08-15,KR,47.52,1.930689505182163,0
2022-08-15,UAL,39.86,0.2281102761215753,0
2019-12-17,DELL,25.29,0.2645269098590661,0
2019-12-17,GE,55.26,0.4479317668475878,1
2021-07-29,NUE,103.45,0.4962198106981446,0
2021-07-29,TSN,71.92,0.3761950286806882,1
2021-07-29,COP,57.08,0.3817596742084738,0
2021-07-29,DELL,49.03,0.2681764599484815,1
2022-03-03,GM,44.9,0.4226441389514977,0
2022-03-03,COP,97.41,0.4506679358744948,0
2023-01-03,C,45.78,0.4407489314091413,1
2023-01-03,CAH,76.73,0.3027600105143257,0
2022-04-20,NUE,169.25,0.2131197669376091,0
2022-04-20,COP,102.67,0.2175724957726572,0
2022-04-20,FDX,209.19,0.4763291857635455,1
2022-04-20,LYB,111.15,0.3397881005952551,0
2024-05-06,UBER,71.51,0.4180547360777016,0
2022-06-29,LOW,176.1,0.4236726556823192,1
2022-06-29,COP,91.46,0.2175724957726572,0
2022-06-29,CVX,146.98,0.4989530723131066,0
2022-06-29,LYB,87.86,0.3397881005952551,0
2024-03-27,PRU,117.02,0.2007669257528616,0
2023-04-13,NUE,146.83,0.4311069062408718,0
2023-04-13,DAL,33.37,7.077099031216362,1
2023-04-13,F,12.46,0.3049331666506393,0
2023-08-08,MPC,141.78,0.7008075246011776,1
2023-08-08,VLO,131.34,0.4817620289309048,1
2023-08-08,DHI,127.53,0.3953739731949848,0
